2025/01/01 00:00:00 - 2025/03/03 09:22:52,Energy Usage(kWh),,,
2025/01/01,0,,,
2025/01/02,0,,,
2025/01/03,0,,,
2025/01/04,0,,,
2025/01/05,0,,,
2025/01/06,0,,,
2025/01/07,0,,,
2025/01/08,0,,,
2025/01/09,0,,,
2025/01/10,0,,,
2025/01/11,0,,,
2025/01/12,0,,,
2025/01/13,0,,,
2025/01/14,0,,,
2025/01/15,0,,,
2025/01/16,0,,,
2025/01/17,0,,,
2025/01/18,0,,,
2025/01/19,0,,,
2025/01/20,0,,,
2025/01/21,0,,,
2025/01/22,0,,,
2025/01/23,0,,,
2025/01/24,0,,,
2025/01/25,0,,,
2025/01/26,0,,,
2025/01/27,0,,,
2025/01/28,0,,,
2025/01/29,0,,,
2025/01/30,0,,,
2025/01/31,0,,,
2025/02/01,0,,,
2025/02/02,0,,,
2025/02/03,0,,,
2025/02/04,0,,,
2025/02/05,0,,,
2025/02/06,0.024,,,
2025/02/07,0.013,,,
2025/02/08,0.009,,,
2025/02/09,0.012,,,
2025/02/10,0.023,,,
2025/02/11,0.031,,,
2025/02/12,0.021,,,
2025/02/13,0.019,,,
2025/02/14,0.004,,,
2025/02/15,0.016,,,
2025/02/16,0.009,,,
2025/02/17,0.005,,,
2025/02/18,0.005,,,
2025/02/19,0.005,,,
2025/02/20,0.005,,,
2025/02/21,0.055,,,
2025/02/22,0.008,,,
2025/02/23,0.008,,,
2025/02/24,0.005,,,
2025/02/25,0.015,,,
2025/02/26,0.004,,,
2025/02/27,0.005,,,
2025/02/28,0.005,,,
2025/03/01,0.017,,,
2025/03/02,0.02,,,
2025/03/03,0.001,,,
