2025/01/01 00:00:00 - 2025/03/03 09:27:06,Energy Usage(kWh),,,
2025/01/01,0,,,
2025/01/02,0,,,
2025/01/03,0,,,
2025/01/04,0,,,
2025/01/05,0,,,
2025/01/06,0,,,
2025/01/07,0,,,
2025/01/08,0,,,
2025/01/09,0,,,
2025/01/10,0,,,
2025/01/11,0,,,
2025/01/12,0,,,
2025/01/13,0,,,
2025/01/14,0,,,
2025/01/15,0,,,
2025/01/16,0,,,
2025/01/17,0,,,
2025/01/18,0,,,
2025/01/19,0,,,
2025/01/20,0,,,
2025/01/21,0,,,
2025/01/22,0,,,
2025/01/23,0,,,
2025/01/24,0,,,
2025/01/25,0,,,
2025/01/26,0,,,
2025/01/27,0,,,
2025/01/28,0,,,
2025/01/29,0,,,
2025/01/30,0,,,
2025/01/31,0,,,
2025/02/01,0,,,
2025/02/02,0,,,
2025/02/03,0,,,
2025/02/04,0,,,
2025/02/05,0,,,
2025/02/06,0.151,,,
2025/02/07,0.01,,,
2025/02/08,0.057,,,
2025/02/09,0.095,,,
2025/02/10,0.247,,,
2025/02/11,0.341,,,
2025/02/12,0.223,,,
2025/02/13,0.191,,,
2025/02/14,0.01,,,
2025/02/15,0.143,,,
2025/02/16,0.096,,,
2025/02/17,0.087,,,
2025/02/18,0.119,,,
2025/02/19,0.144,,,
2025/02/20,0.038,,,
2025/02/21,0.167,,,
2025/02/22,0.144,,,
2025/02/23,0.098,,,
2025/02/24,0.115,,,
2025/02/25,0.153,,,
2025/02/26,0.112,,,
2025/02/27,0.065,,,
2025/02/28,0.05,,,
2025/03/01,0.165,,,
2025/03/02,0.153,,,
2025/03/03,0.004,,,
